,Public Use Area,Community,"Community 
Number",Total Population,Year
213,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",New City,61.0,161964.0,2014.0
214,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",New City,61.0,162860.0,2015.0
216,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",Gage Park,63.0,148078.0,2012.0
217,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",Gage Park,63.0,150404.0,2013.0
218,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",Gage Park,63.0,152218.0,2014.0
219,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",Gage Park,63.0,153737.0,2015.0
221,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",West Lawn,65.0,148078.0,2012.0
222,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",West Lawn,65.0,150404.0,2013.0
223,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",West Lawn,65.0,152218.0,2014.0
224,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",West Lawn,65.0,153737.0,2015.0
225,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",Chicago Lawn,66.0,151798.0,2012.0
